company_id,geography_id,Global_Rank,Earnings_USD_Actual,Stock Price,Earnings_Anomalies
2001,1001,1,195684000000.0,361.17,Higher Outlier
2002,1002,2,181669000000.0,7.2,Higher Outlier
2003,1001,3,154503000000.0,411.74,Higher Outlier
2004,1001,4,147366000000.0,301.54,Higher Outlier
2005,1001,5,141709000000.0,208.64,Higher Outlier
2006,1001,6,117999000000.0,245.22,Higher Outlier
2007,1001,7,90789000000.0,585.39,Higher Outlier
2008,1001,8,74666000000.0,311.11,Higher Outlier
2009,1003,9,65346300000.0,426.8,Higher Outlier
2010,1001,10,61782000000.0,487.0,Higher Outlier
2011,1004,11,57509000000.0,0.88,Higher Outlier
2012,1004,12,52701900000.0,1.53,Higher Outlier
2013,1004,13,46084400000.0,0.97,Higher Outlier
2014,1004,14,42979100000.0,0.91,Higher Outlier
2015,1001,15,39983000000.0,53.63,Higher Outlier
2016,1001,16,36635000000.0,151.75,Higher Outlier
2017,1005,17,36256200000.0,1456.0,Higher Outlier
2018,1004,18,35771900000.0,1.3,Higher Outlier
2019,1005,19,34763600000.0,211.64,Higher Outlier
2020,1006,20,34390800000.0,178.45,Higher Outlier
2021,1001,21,32268000000.0,119.83,Higher Outlier
2022,1001,22,31125000000.0,1149.0,Higher Outlier
2023,1007,23,30891000000.0,17.75,Higher Outlier
2024,1008,24,29799000000.0,91.53,Higher Outlier
2025,1008,25,29756000000.0,86.65,Higher Outlier
2026,1004,26,29405200000.0,56.69,Higher Outlier
2027,1001,27,28572000000.0,396.6,Higher Outlier
2028,1001,28,28318000000.0,949.28,Higher Outlier
2029,1009,29,28139000000.0,88.63,Higher Outlier
2030,1001,30,27007000000.0,22.5,Higher Outlier
2031,1001,31,26456000000.0,319.67,Higher Outlier
2032,1004,32,26407200000.0,3.41,Higher Outlier
2033,1004,33,26128600000.0,7.97,Higher Outlier
2034,1001,34,25979000000.0,232.16,Higher Outlier
2035,1010,35,25939000000.0,37.6,Higher Outlier
2036,1001,36,25854000000.0,80.96,Higher Outlier
2037,1004,37,25087400000.0,6.12,Higher Outlier
2038,1011,38,25011900000.0,41.02,Higher Outlier
2039,1004,39,24321400000.0,10.5,Higher Outlier
2040,1001,40,24007000000.0,23.76,Higher Outlier
2041,1001,41,23421000000.0,212.24,Higher Outlier
2042,1001,42,22983000000.0,45.44,Higher Outlier
2043,1001,43,22691000000.0,1045.0,Higher Outlier
2044,1001,44,22475000000.0,211.82,Higher Outlier
2045,1012,45,22379200000.0,32.29,Higher Outlier
2046,1013,46,22269800000.0,12.16,Higher Outlier
2047,1001,47,21817000000.0,145.1,Higher Outlier
2048,1014,48,21470000000.0,44.23,Higher Outlier
2049,1015,49,21438700000.0,408.37,Higher Outlier
2050,1001,50,21014000000.0,309.71,Higher Outlier
2051,1001,51,20960000000.0,189.24,Higher Outlier
2052,1016,52,20227000000.0,83.7,Higher Outlier
2053,1009,53,19972100000.0,109.41,Higher Outlier
2054,1001,54,19828000000.0,133.28,Higher Outlier
2055,1009,55,19615600000.0,560.72,Higher Outlier
2056,1013,56,19430600000.0,22.37,Higher Outlier
2057,1001,57,19359000000.0,485.67,Higher Outlier
2058,1014,58,19285700000.0,195.32,Higher Outlier
2059,1009,59,18833100000.0,521.57,Higher Outlier
2060,1001,60,18581000000.0,6.49,Higher Outlier
2061,1014,61,18524300000.0,114.17,Higher Outlier
2062,1012,62,18481900000.0,439.57,Higher Outlier
2063,1001,63,18194000000.0,79.54,Higher Outlier
2064,1004,64,18176900000.0,1.73,Higher Outlier
2065,1004,65,17772500000.0,185.52,Higher Outlier
2066,1004,66,17739700000.0,120.07,Higher Outlier
2067,1006,67,17709000000.0,19.92,Higher Outlier
2068,1001,68,17666000000.0,178.43,Higher Outlier
2069,1008,69,16941000000.0,43.72,Higher Outlier
2070,1001,70,16910300000.0,82.64,Higher Outlier
2071,1004,71,16842700000.0,82.62,Higher Outlier
2072,1008,72,16397000000.0,100.93,Higher Outlier
2073,1001,73,15942000000.0,215.02,Higher Outlier
2074,1001,74,15833000000.0,176.06,Higher Outlier
2075,1015,75,15784000000.0,146.42,Higher Outlier
2076,1012,76,15542300000.0,101.12,Higher Outlier
2077,1004,77,14918600000.0,1.02,Higher Outlier
2078,1001,78,14831000000.0,200.26,Higher Outlier
2079,1008,79,14664000000.0,181.55,Higher Outlier
2080,1001,80,14554000000.0,406.57,Higher Outlier
2081,1017,81,14512900000.0,6.65,Higher Outlier
2082,1001,82,14474000000.0,124.15,Higher Outlier
2083,1018,83,14441600000.0,1749.0,Higher Outlier
2084,1015,84,14373000000.0,321.88,Higher Outlier
2085,1001,85,14344000000.0,5.85,Higher Outlier
2086,1001,86,14243000000.0,312.3,Higher Outlier
2087,1004,87,14171900000.0,0.71,Higher Outlier
2088,1019,88,13956000000.0,13.31,Higher Outlier
2089,1001,89,13804000000.0,98.87,Higher Outlier
2090,1004,90,13771100000.0,59.01,Higher Outlier
2091,1015,91,13579600000.0,96.83,Higher Outlier
2092,1006,92,13557400000.0,0.92,Higher Outlier
2093,1004,93,13465400000.0,4.21,Higher Outlier
2094,1001,94,13454000000.0,98.99,Higher Outlier
2095,1004,95,13315200000.0,2.73,Higher Outlier
2096,1006,96,13252700000.0,23.24,Higher Outlier
2097,1001,97,13152000000.0,119.52,Higher Outlier
2098,1012,98,13096700000.0,311.5,Higher Outlier
2099,1012,99,12939200000.0,181.92,Higher Outlier
2100,1019,100,12886600000.0,10.52,Higher Outlier
2101,1017,101,12654400000.0,11.2,Higher Outlier
2102,1004,102,12537100000.0,1.13,Higher Outlier
2103,1001,103,12489000000.0,132.2,Higher Outlier
2104,1008,104,12433100000.0,24.23,Higher Outlier
2105,1001,105,12381000000.0,217.77,Higher Outlier
2106,1001,106,12077000000.0,361.32,Higher Outlier
2107,1009,107,12063300000.0,347.64,Higher Outlier
2108,1001,108,12043000000.0,915.64,Higher Outlier
2109,1001,109,12030000000.0,140.68,Higher Outlier
2110,1020,110,11886000000.0,78.66,Higher Outlier
2111,1012,111,11863300000.0,80.31,Higher Outlier
2112,1001,112,11738000000.0,71.29,Higher Outlier
2113,1009,113,11706600000.0,19.26,Higher Outlier
2114,1012,114,11624000000.0,31.35,Higher Outlier
2115,1001,115,11553000000.0,118.89,Higher Outlier
2116,1001,116,11543000000.0,974.75,Higher Outlier
2117,1001,117,11459000000.0,88.08,Higher Outlier
2118,1004,118,11390800000.0,7.23,Higher Outlier
2119,1005,119,11244000000.0,12.07,Higher Outlier
2120,1004,120,11186000000.0,0.69,Higher Outlier
2121,1009,121,11096500000.0,144.38,Higher Outlier
2122,1001,122,11034000000.0,178.66,Higher Outlier
2123,1001,123,10981000000.0,322.04,Higher Outlier
2124,1001,124,10897000000.0,277.78,Higher Outlier
2125,1018,125,10871300000.0,29.11,Higher Outlier
2126,1021,126,10713500000.0,174.43,Higher Outlier
2127,1008,127,10674100000.0,15.91,Higher Outlier
2128,1001,128,10591000000.0,25.62,Higher Outlier
2129,1015,129,10562000000.0,47.29,Higher Outlier
2130,1001,130,10557000000.0,280.82,Higher Outlier
2131,1009,131,10446900000.0,30.97,Higher Outlier
2132,1012,132,10440200000.0,525.27,Higher Outlier
2133,1009,133,10346300000.0,82.56,Higher Outlier
2134,1001,134,10273000000.0,207.97,Higher Outlier
2135,1005,135,10218800000.0,419.99,Higher Outlier
2136,1004,136,10196400000.0,0.74,Higher Outlier
2137,1012,137,10133700000.0,55.82,Higher Outlier
2138,1018,138,10119100000.0,76.96,Higher Outlier
2139,1006,139,10080700000.0,22.15,Higher Outlier
2140,1013,140,10074200000.0,13.34,Higher Outlier
2141,1022,141,10060800000.0,49.6,Higher Outlier
2142,1006,142,10037800000.0,30.78,Higher Outlier
2143,1008,143,10011400000.0,50.64,Higher Outlier
2144,1009,144,9987780000.0,442.99,Higher Outlier
2145,1023,145,9931000000.0,12.25,Higher Outlier
2146,1001,146,9889000000.0,296.73,Higher Outlier
2147,1001,147,9870000000.0,84.01,Higher Outlier
2148,1001,148,9806000000.0,289.61,Higher Outlier
2149,1001,149,9797000000.0,128.1,Higher Outlier
2150,1001,150,9777000000.0,55.35,Higher Outlier
2151,1001,151,9754000000.0,492.17,Higher Outlier
2152,1001,152,9725000000.0,122.05,Higher Outlier
2153,1008,153,9658830000.0,5.3,Higher Outlier
2154,1008,154,9614000000.0,501.92,Higher Outlier
2155,1001,155,9597000000.0,55.57,Higher Outlier
2156,1016,156,9570450000.0,113.2,Higher Outlier
2157,1014,157,9566950000.0,46.29,Higher Outlier
2158,1001,158,9532000000.0,19.34,Higher Outlier
2159,1001,159,9520000000.0,182.55,Higher Outlier
2160,1019,160,9516570000.0,23.01,Higher Outlier
2161,1003,161,9497210000.0,8.79,Higher Outlier
2162,1004,162,9364320000.0,1.38,Higher Outlier
2163,1008,163,9339500000.0,16.99,Higher Outlier
2164,1006,164,9323350000.0,30.0,Higher Outlier
2165,1001,165,9268000000.0,268.67,Higher Outlier
2166,1001,166,9257000000.0,573.66,Higher Outlier
2167,1001,167,9238000000.0,244.99,Higher Outlier
2168,1014,168,9179000000.0,39.46,Higher Outlier
2169,1001,169,9136000000.0,266.17,Higher Outlier
2170,1013,170,9103110000.0,22.99,Higher Outlier
2171,1001,171,9087000000.0,345.73,Higher Outlier
2172,1006,172,9013610000.0,9.59,Higher Outlier
2173,1001,173,8990000000.0,87.35,Higher Outlier
2174,1007,174,8839550000.0,7.43,Higher Outlier
2175,1001,175,8830000000.0,400.77,Higher Outlier
2176,1001,176,8827000000.0,227.14,Higher Outlier
2177,1013,177,8727170000.0,63.65,Higher Outlier
2178,1014,178,8726590000.0,164.59,Higher Outlier
2179,1014,179,8663490000.0,80.93,Higher Outlier
2180,1019,180,8646420000.0,25.7,Higher Outlier
2181,1006,181,8494840000.0,22.42,Higher Outlier
2182,1004,182,8438060000.0,0.91,Higher Outlier
2183,1014,183,8415000000.0,109.52,Higher Outlier
2184,1019,184,8305380000.0,2.72,Higher Outlier
2185,1001,185,8282000000.0,236.61,Higher Outlier
2186,1001,186,8233000000.0,994.77,Higher Outlier
2187,1024,187,8201540000.0,7.3,Higher Outlier
2188,1023,188,8169450000.0,24.86,Higher Outlier
2189,1001,189,8137000000.0,90.5,Higher Outlier
2190,1008,190,8125990000.0,56.09,Higher Outlier
2191,1014,191,8068960000.0,162.11,Higher Outlier
2192,1025,192,7978540000.0,4.53,Higher Outlier
2193,1009,193,7958790000.0,1908.0,Higher Outlier
2194,1018,194,7860800000.0,205.76,Higher Outlier
2195,1001,195,7835000000.0,162.3,Higher Outlier
2196,1025,196,7831000000.0,9.06,Higher Outlier
2197,1026,197,7761470000.0,40.54,Higher Outlier
2198,1001,198,7749800000.0,170.48,Higher Outlier
2199,1009,199,7658480000.0,43.88,Higher Outlier
2200,1008,200,7647000000.0,25.19,Higher Outlier
2201,1001,201,7632000000.0,418.15,Higher Outlier
2202,1008,202,7626510000.0,59.69,Higher Outlier
2203,1001,203,7599000000.0,933.85,Higher Outlier
2204,1004,204,7577830000.0,12.16,Higher Outlier
2205,1019,205,7569980000.0,22.56,Higher Outlier
2206,1001,206,7552000000.0,137.16,Higher Outlier
2207,1006,207,7491770000.0,11.54,Higher Outlier
2208,1001,208,7486310000.0,324.45,Higher Outlier
2209,1002,209,7469340000.0,17.94,Higher Outlier
2210,1007,210,7450000000.0,14.99,Higher Outlier
2211,1002,211,7447140000.0,10.89,Higher Outlier
2212,1001,212,7422000000.0,469.63,Higher Outlier
2213,1004,213,7420670000.0,1.64,Higher Outlier
2214,1001,214,7373000000.0,159.75,Higher Outlier
2215,1012,215,7342850000.0,60.71,Higher Outlier
2216,1009,216,7333170000.0,46.55,Higher Outlier
2217,1005,217,7295660000.0,107.99,Higher Outlier
2218,1001,218,7294000000.0,140.15,Higher Outlier
2219,1009,219,7259830000.0,314.27,Higher Outlier
2220,1014,220,7177700000.0,37.73,Higher Outlier
2221,1001,221,7171650000.0,114.19,Higher Outlier
2222,1001,222,7164000000.0,107.7,Higher Outlier
2223,1024,223,7160720000.0,3.07,Higher Outlier
2224,1001,224,7099160000.0,93.21,Higher Outlier
2225,1027,225,7072040000.0,18.61,Higher Outlier
2226,1014,226,7038750000.0,55.33,Higher Outlier
2227,1001,227,7005000000.0,526.93,Higher Outlier
2228,1001,228,6945000000.0,417.09,Higher Outlier
2229,1016,229,6832120000.0,25.37,Higher Outlier
2230,1004,230,6815800000.0,0.46,Higher Outlier
2231,1004,231,6811800000.0,4.66,Higher Outlier
2232,1015,232,6746280000.0,4232.0,Higher Outlier
2233,1005,233,6709770000.0,834.06,Higher Outlier
2234,1001,234,6704000000.0,290.9,Higher Outlier
2235,1014,235,6700110000.0,63.25,Higher Outlier
2236,1001,236,6597000000.0,223.07,Higher Outlier
2237,1028,237,6572340000.0,1.1,Higher Outlier
2238,1001,238,6565000000.0,97.08,Higher Outlier
2239,1001,239,6563000000.0,330.22,Higher Outlier
2240,1022,240,6555560000.0,18.51,Higher Outlier
2241,1006,241,6551580000.0,16.99,Higher Outlier
2242,1008,242,6510840000.0,29.5,Higher Outlier
2243,1001,243,6504000000.0,48.83,Higher Outlier
2244,1004,244,6502550000.0,2.19,Higher Outlier
2245,1015,245,6497000000.0,104.18,Higher Outlier
2246,1001,246,6485000000.0,70.84,Higher Outlier
2247,1004,247,6415690000.0,0.45,Higher Outlier
2248,1001,248,6374740000.0,207.34,Higher Outlier
2249,1029,249,6373790000.0,116.69,Higher Outlier
2250,1001,250,6372000000.0,63.91,Higher Outlier
2251,1004,251,6338600000.0,11.04,Higher Outlier
2252,1014,252,6316300000.0,1616.0,Higher Outlier
2253,1001,253,6302000000.0,78.21,Higher Outlier
2254,1001,254,6283500000.0,143.6,Higher Outlier
2255,1021,255,6276000000.0,80.69,Higher Outlier
2256,1019,256,6229230000.0,4.24,Higher Outlier
2257,1018,257,6219000000.0,46.24,Higher Outlier
2258,1001,258,6204000000.0,258.39,Higher Outlier
2259,1001,259,6183000000.0,183.42,Higher Outlier
2260,1006,260,6149320000.0,30.48,Higher Outlier
2261,1014,261,6121080000.0,68.25,Higher Outlier
2262,1001,262,6113000000.0,65.52,Higher Outlier
2263,1019,263,6096040000.0,17.76,Higher Outlier
2264,1001,264,6082000000.0,41.26,Higher Outlier
2265,1030,265,6051460000.0,4.76,Higher Outlier
2266,1025,266,6022280000.0,6.11,Higher Outlier
2267,1001,267,5990000000.0,56.41,Higher Outlier
2268,1001,268,5976000000.0,139.05,Higher Outlier
2269,1006,269,5969170000.0,1.32,Higher Outlier
2270,1001,270,5899000000.0,37.52,Higher Outlier
2271,1001,271,5892000000.0,211.8,Higher Outlier
2272,1004,272,5877730000.0,1.72,Higher Outlier
2273,1012,273,5855280000.0,115.01,Higher Outlier
2274,1008,274,5850000000.0,325.85,Higher Outlier
2275,1001,275,5830000000.0,105.32,Higher Outlier
2276,1005,276,5800900000.0,100.39,Higher Outlier
2277,1006,277,5797920000.0,26.97,Higher Outlier
2278,1001,278,5779000000.0,127.57,Higher Outlier
2279,1001,279,5776000000.0,408.95,Higher Outlier
2280,1001,280,5771900000.0,252.03,Higher Outlier
2281,1016,281,5765850000.0,24.17,Higher Outlier
2282,1015,282,5745000000.0,700.72,Higher Outlier
2283,1004,283,5743010000.0,3.77,Higher Outlier
2284,1009,284,5735620000.0,192.48,Higher Outlier
2285,1001,285,5723000000.0,305.51,Higher Outlier
2286,1004,286,5722070000.0,0.63,Higher Outlier
2287,1001,287,5722000000.0,84.38,Higher Outlier
2288,1013,288,5713960000.0,26.62,Higher Outlier
2289,1019,289,5686240000.0,18.87,Higher Outlier
2290,1001,290,5663200000.0,229.08,Higher Outlier
2291,1004,291,5661680000.0,0.98,Higher Outlier
2292,1001,292,5660000000.0,520.07,Higher Outlier
2293,1001,293,5657000000.0,340.86,Higher Outlier
2294,1019,294,5646810000.0,4.9,Higher Outlier
2295,1006,295,5640970000.0,46.26,Higher Outlier
2296,1001,296,5637000000.0,272.0,Higher Outlier
2297,1001,297,5591000000.0,766.64,Higher Outlier
2298,1004,298,5569830000.0,47.21,Higher Outlier
2299,1021,299,5559000000.0,101.53,Higher Outlier
2300,1014,300,5538170000.0,24.18,Higher Outlier
2301,1001,301,5520000000.0,540.81,Higher Outlier
2302,1013,302,5503700000.0,5.68,Higher Outlier
2303,1007,303,5486470000.0,8.12,Higher Outlier
2304,1006,304,5479980000.0,3.38,Higher Outlier
2305,1006,305,5464750000.0,42.68,Higher Outlier
2306,1001,306,5418000000.0,44.8,Higher Outlier
2307,1031,307,5410000000.0,89.61,Higher Outlier
2308,1004,308,5393740000.0,0.52,Higher Outlier
2309,1001,309,5385340000.0,2108.0,Higher Outlier
2310,1004,310,5380100000.0,4.89,Higher Outlier
2311,1015,311,5379150000.0,209.96,Higher Outlier
2312,1004,312,5372360000.0,1.89,Higher Outlier
2313,1001,313,5328000000.0,71.59,Higher Outlier
2314,1009,314,5317190000.0,74.75,Higher Outlier
2315,1020,315,5314540000.0,127.05,Higher Outlier
2316,1001,316,5293000000.0,162.52,Higher Outlier
2317,1004,317,5285470000.0,13.57,Higher Outlier
2318,1010,318,5261800000.0,36.6,Higher Outlier
2319,1010,319,5235550000.0,30.19,Higher Outlier
2320,1001,320,5233000000.0,127.59,Higher Outlier
2321,1032,321,5214280000.0,39.47,Higher Outlier
2322,1014,322,5205600000.0,120.81,Higher Outlier
2323,1001,323,5173600000.0,142.78,Higher Outlier
2324,1001,324,5156900000.0,611.34,Higher Outlier
2325,1001,325,5150000000.0,1642.0,Higher Outlier
2326,1014,326,5139510000.0,38.89,Higher Outlier
2327,1001,327,5061900000.0,442.96,Higher Outlier
2328,1026,328,5031310000.0,34.29,Higher Outlier
2329,1004,329,5018470000.0,118.7,Higher Outlier
2330,1001,330,5015000000.0,91.28,Higher Outlier
2331,1001,331,5014000000.0,31.29,Higher Outlier
2332,1016,332,4990000000.0,13.93,Higher Outlier
2333,1001,333,4988640000.0,52.98,Higher Outlier
2334,1004,334,4960680000.0,2.44,Higher Outlier
2335,1004,335,4928950000.0,5.6,Higher Outlier
2336,1005,336,4915690000.0,63.91,Higher Outlier
2337,1006,337,4911520000.0,37.89,Higher Outlier
2338,1001,338,4911000000.0,70.06,Higher Outlier
2339,1017,339,4897370000.0,54.32,Higher Outlier
2340,1021,340,4863000000.0,403.14,Higher Outlier
2341,1032,341,4861550000.0,17.45,Higher Outlier
2342,1010,342,4858100000.0,5.04,Higher Outlier
2343,1017,343,4847980000.0,84.94,Higher Outlier
2344,1019,344,4843340000.0,4.57,Higher Outlier
2345,1001,345,4830000000.0,449.38,Higher Outlier
2346,1001,346,4826200000.0,189.1,Higher Outlier
2347,1001,347,4817000000.0,12.84,Higher Outlier
2348,1011,348,4816060000.0,51.32,Higher Outlier
2349,1018,349,4808050000.0,12.8,Higher Outlier
2350,1019,350,4792210000.0,3.73,Higher Outlier
2351,1004,351,4768730000.0,1.5,Higher Outlier
2352,1001,352,4767000000.0,123.97,Higher Outlier
2353,1033,353,4736250000.0,19.13,Higher Outlier
2354,1034,354,4714260000.0,15.35,Higher Outlier
2355,1004,355,4713370000.0,3.48,Higher Outlier
2356,1035,356,4710420000.0,0.23,Higher Outlier
2357,1001,357,4710000000.0,56.55,Higher Outlier
2358,1001,358,4684000000.0,70.55,Higher Outlier
2359,1006,359,4679550000.0,48.31,Higher Outlier
2360,1001,360,4656000000.0,103.72,Higher Outlier
2361,1009,361,4640180000.0,86.27,Higher Outlier
2362,1031,362,4633670000.0,282.11,Higher Outlier
2363,1001,363,4623000000.0,88.15,Higher Outlier
2364,1036,364,4612310000.0,22.78,Higher Outlier
2365,1004,365,4600020000.0,4.77,Higher Outlier
2366,1001,366,4595000000.0,183.53,Higher Outlier
2367,1001,367,4589710000.0,563.69,Higher Outlier
2368,1006,368,4584390000.0,2.1,Higher Outlier
2369,1001,369,4566100000.0,156.4,Higher Outlier
2370,1001,370,4533000000.0,115.24,Higher Outlier
2371,1004,371,4516700000.0,1.02,Higher Outlier
2372,1001,372,4514000000.0,301.53,Higher Outlier
2373,1004,373,4510180000.0,4.08,Higher Outlier
2374,1019,374,4504480000.0,1.45,Higher Outlier
2375,1023,375,4498520000.0,122.51,Higher Outlier
2376,1033,376,4491000000.0,84.47,Higher Outlier
2377,1035,377,4486280000.0,0.15,Higher Outlier
2378,1008,378,4478500000.0,2.72,Higher Outlier
2379,1006,379,4450220000.0,38.53,Higher Outlier
2380,1001,380,4436000000.0,1206.0,Higher Outlier
2381,1017,381,4435070000.0,46.94,Higher Outlier
2382,1001,382,4434000000.0,216.14,Higher Outlier
2383,1019,383,4431000000.0,12.28,Higher Outlier
2384,1002,384,4376700000.0,11.77,Higher Outlier
2385,1014,385,4372280000.0,59.55,Higher Outlier
2386,1015,386,4372000000.0,149.18,Higher Outlier
2387,1004,387,4364700000.0,1.35,Higher Outlier
2388,1003,388,4344100000.0,3.96,Higher Outlier
2389,1006,389,4343560000.0,14.36,Higher Outlier
2390,1001,390,4325000000.0,90.42,Higher Outlier
2391,1012,391,4321560000.0,42.93,Higher Outlier
2392,1035,392,4305070000.0,0.29,Higher Outlier
2393,1026,393,4298650000.0,54.96,Higher Outlier
2394,1001,394,4294140000.0,883.14,Higher Outlier
2395,1006,395,4287020000.0,13.62,Higher Outlier
2396,1001,396,4271000000.0,490.33,Higher Outlier
2397,1021,397,4270370000.0,135.71,Higher Outlier
2398,1001,398,4264000000.0,52.72,Higher Outlier
2399,1007,399,4261130000.0,4.25,Higher Outlier
2400,1001,400,4258000000.0,252.39,Higher Outlier
2401,1006,401,4230290000.0,40.98,Higher Outlier
2402,1001,402,4228400000.0,144.28,Higher Outlier
2403,1004,403,4222350000.0,0.63,Higher Outlier
2404,1004,404,4214510000.0,2.4,Higher Outlier
2405,1008,405,4205090000.0,36.78,Higher Outlier
2406,1001,406,4203000000.0,391.42,Higher Outlier
2407,1013,407,4199990000.0,29.17,Higher Outlier
2408,1001,408,4192000000.0,309.93,Higher Outlier
2409,1026,409,4176600000.0,35.7,Higher Outlier
2410,1004,410,4115860000.0,1.34,Higher Outlier
2411,1006,411,4099380000.0,15.75,Higher Outlier
2412,1024,412,4089500000.0,3.77,Higher Outlier
2413,1012,413,4076770000.0,65.2,Higher Outlier
2414,1033,414,4064100000.0,12.93,Higher Outlier
2415,1026,415,4050250000.0,19.51,Higher Outlier
2416,1003,416,4030250000.0,141.81,Higher Outlier
2417,1001,417,4022000000.0,250.67,Higher Outlier
2418,1001,418,4004820000.0,27.4,Higher Outlier
2419,1013,419,3997940000.0,66.5,Higher Outlier
2420,1014,420,3989700000.0,25.86,Higher Outlier
2421,1001,421,3989000000.0,163.01,Higher Outlier
2422,1014,422,3977710000.0,146.67,Higher Outlier
2423,1005,423,3976820000.0,158.4,Higher Outlier
2424,1001,424,3974000000.0,47.11,Higher Outlier
2425,1001,425,3963000000.0,45.08,Higher Outlier
2426,1004,426,3957540000.0,1.69,Higher Outlier
2427,1012,427,3950050000.0,262.98,Higher Outlier
2428,1014,428,3932290000.0,28.72,Higher Outlier
2429,1019,429,3931100000.0,13.56,Higher Outlier
2430,1006,430,3930870000.0,41.55,Higher Outlier
2431,1014,431,3924680000.0,90.05,Higher Outlier
2432,1004,432,3919730000.0,0.93,Higher Outlier
2433,1018,433,3915000000.0,301.14,Higher Outlier
2434,1001,434,3906000000.0,74.1,Higher Outlier
2435,1004,435,3905970000.0,28.59,Higher Outlier
2436,1021,436,3886500000.0,458.92,Higher Outlier
2437,1006,437,3883370000.0,30.55,Higher Outlier
2438,1001,438,3878000000.0,161.81,Higher Outlier
2439,1026,439,3870140000.0,12.52,Higher Outlier
2440,1005,440,3869440000.0,78.21,Higher Outlier
2441,1007,441,3868420000.0,11.6,Higher Outlier
2442,1013,442,3863400000.0,33.61,Higher Outlier
2443,1037,443,3858760000.0,2.84,Higher Outlier
2444,1016,444,3849000000.0,21.68,Higher Outlier
2445,1001,445,3847000000.0,64.84,Higher Outlier
2446,1038,446,3833770000.0,60.45,Higher Outlier
2447,1007,447,3829040000.0,3.29,Higher Outlier
2448,1014,448,3825190000.0,73.52,Higher Outlier
2449,1012,449,3799270000.0,158.78,Higher Outlier
2450,1001,450,3794000000.0,222.63,Higher Outlier
2451,1037,451,3791090000.0,4.12,Higher Outlier
2452,1016,452,3782410000.0,24.48,Higher Outlier
2453,1001,453,3780000000.0,672.68,Higher Outlier
2454,1032,454,3775360000.0,27.45,Higher Outlier
2455,1015,455,3765000000.0,205.61,Higher Outlier
2456,1019,456,3760640000.0,31.36,Higher Outlier
2457,1001,457,3756500000.0,126.77,Higher Outlier
2458,1009,458,3753260000.0,204.98,Higher Outlier
2459,1008,459,3749490000.0,60.85,Higher Outlier
2460,1005,460,3742300000.0,391.07,Higher Outlier
2461,1001,461,3742000000.0,48.7,Higher Outlier
2462,1006,462,3741790000.0,21.62,Higher Outlier
2463,1001,463,3740000000.0,64.56,Higher Outlier
2464,1004,464,3738350000.0,2.12,Higher Outlier
2465,1012,465,3738160000.0,282.64,Higher Outlier
2466,1017,466,3727430000.0,31.24,Higher Outlier
2467,1001,467,3724000000.0,26.47,Higher Outlier
2468,1016,468,3724000000.0,70.17,Higher Outlier
2469,1039,469,3719180000.0,132.58,Higher Outlier
2470,1004,470,3714820000.0,1.67,Higher Outlier
2471,1001,471,3706000000.0,153.85,Higher Outlier
2472,1006,472,3691280000.0,487.32,Higher Outlier
2473,1023,473,3682030000.0,2.95,Higher Outlier
2474,1025,474,3680040000.0,8.53,Higher Outlier
2475,1001,475,3674010000.0,108.11,Higher Outlier
2476,1001,476,3661000000.0,139.07,Higher Outlier
2477,1006,477,3645830000.0,21.45,Higher Outlier
2478,1007,478,3642770000.0,3.07,Higher Outlier
2479,1019,479,3639390000.0,40.91,Higher Outlier
2480,1029,480,3635920000.0,68.0,Higher Outlier
2481,1006,481,3633780000.0,38.11,Higher Outlier
2482,1028,482,3633620000.0,4.4,Higher Outlier
2483,1004,483,3625590000.0,14.9,Higher Outlier
2484,1025,484,3618460000.0,1.98,Higher Outlier
2485,1036,485,3614900000.0,23.49,Higher Outlier
2486,1003,486,3604090000.0,3.3,Higher Outlier
2487,1004,487,3583490000.0,8.25,Higher Outlier
2488,1012,488,3572620000.0,35.82,Higher Outlier
2489,1006,489,3564660000.0,466.78,Higher Outlier
2490,1008,490,3561430000.0,34.52,Higher Outlier
2491,1002,491,3556620000.0,4.43,Higher Outlier
2492,1006,492,3554430000.0,8.58,Higher Outlier
2493,1001,493,3551200000.0,403.89,Higher Outlier
2494,1018,494,3549280000.0,39.1,Higher Outlier
2495,1014,495,3548130000.0,57.47,Higher Outlier
2496,1018,496,3518310000.0,78.2,Higher Outlier
2497,1004,497,3505670000.0,2.96,Higher Outlier
2498,1014,498,3499500000.0,58.56,Higher Outlier
2499,1026,499,3498960000.0,17.12,Higher Outlier
2500,1012,500,3492370000.0,183.97,Higher Outlier
2501,1005,501,3484480000.0,258.3,Higher Outlier
2502,1001,502,3475240000.0,89.02,Higher Outlier
2503,1001,503,3474000000.0,52.99,Higher Outlier
2504,1001,504,3470000000.0,443.76,Higher Outlier
2505,1006,505,3462640000.0,17.13,Higher Outlier
2506,1012,506,3445890000.0,20.97,Higher Outlier
2507,1004,507,3435190000.0,2.4,Higher Outlier
